name,distance,mass,radius
Sun,0.000015813,1.989e+30,695700000.0
Sirius,0008.6,4.1769e+30,1189647000.0
Canopus,0310,2.9835e+31,49394700000.0
Alpha Centauri,0004.4,2.1879e+30,834840000.0
Arcturus,0037,2.1879e+30,18088200000.0
Vega,0025,4.3758e+30,1878390000.0000002
Capella,0043,5.1714e+30,8348400000.0
Rigel,0860,4.574699999999999e+31,54890730000.00001
Procyon,0011.4,2.9835e+30,1321830000.0
Betelgeuse,0640[1],3.978e+31,660915000000.0
Achernar,0144,1.33263e+31,6470010000.000001
Hadar,0390,2.08845e+31,5983020000.0
Altair,0017,3.5802e+30,1252260000.0
Acrux,0320,3.5801999999999996e+31,6191730000.0
Aldebaran,0065,2.9835e+30,30610800000.0
Antares,0600,2.3868e+31,473076000000.0
Spica,0260,2.2734269999999998e+31,5196879000.0
Pollux,0034,3.7790999999999997e+30,6122160000.000001
Fomalhaut,0025,3.7790999999999997e+30,1252260000.0
Deneb,"2,600",3.7791e+31,141227100000.0
Mimosa,0350,3.1824e+31,5843880000.0
Regulus,0077,7.558199999999999e+30,2156670000.0
Adhara,0430,2.48625e+31,9739800000.0
Shaula,0700,2.88405e+31,6122160000.000001
Castor,0052,5.5692e+30,1669680000.0
Gacrux,0088,2.9835e+30,58438800000.0
Bellatrix,0240,1.7105399999999998e+31,4035060000.0
Elnath,0130,9.945e+30,2921940000.0
Miaplacidus,0110,6.9615e+30,4730760000.0
Alnilam,"2,000",6.3648e+31,29219400000.0
Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0
Alnair,0101,7.956e+30,2365380000.0
Alioth,0081,5.7681e+30,2921940000.0
Alnitak,01050,6.5637e+31,13914000000.0
Dubhe,0120,8.453249999999999e+30,20871000000.0
Mirfak,0590,1.6906499999999999e+31,47307600000.0
Wezen,"1,600",3.3812999999999997e+31,139140000000.0
Sargas,0270,1.13373e+31,18088200000.0
Kaus Australis,0140,6.9615e+30,4730760000.0
Avior,0630,1.7900999999999998e+31,90441000000.0
Alkaid,0104,1.2132899999999998e+31,2365380000.0
Menkalinan,081,4.75371e+30,1927089000.0
Atria,0390,1.3923e+31,64004400000.0
Alhena,0109,5.5692e+30,2295810000.0
Peacock,0180,1.17351e+31,3339360000.0
Alsephina[2],0080,4.7735999999999997e+30,2017530000.0
Mirzam,0500,2.68515e+31,6957000000.0
Polaris,0430,1.07406e+31,27132300000.0
Alphard,0180,5.967e+30,34785000000.0
Mintaka,01200,4.7736e+31,11479050000.0
Scheat,0196,4.1769e+30,66091500000.0
Almaaz,0653,2.9835e+31,97398000000.0
Rasalgethi,0360,5.5692e+30,194796000000.0
Tau Ceti,011.9,1.557387e+30,621260100.0
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0
Ran,010.48,1.6309799999999997e+30,514818000.0
V382 Carinae,"08,900",3.978e+31,337414500000.0
Delta Cephei,0887,8.950499999999999e+30,30958650000.0
Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0
Titawin,044.25,2.52603e+30,1029636000.0
P Cygni,"05,545",5.967e+31,52873200000.0
61 Cygni,011.41,1.3923e+30,462640500.0
Polaris Australis,0281,3.16251e+30,2601918000.0
R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0
54 Piscium,036.1,1.51164e+30,653958000.0
Mira,0300,2.3867999999999998e+30,257409000000.0
Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0
II Pegasi,0130,1.5912e+30,2365380000.0
Pistol Star,"025,000",1.989e+32,222624000000.0
S Doradus,"0169,000",4.7736e+31,264366000000.0
Barnard's Star,05.98,2.7846e+29,139140000.0
Proxima Centauri,04.25,2.3868e+29,104355000.0
KIC 8462852,"01,470",2.84427e+30,1099206000.0
R136a1,"0163,000",5.7680999999999994e+32,22262400000.0
Melnick 42,"0163,000",3.75921e+32,14679270000.000002
WR 102,"018,134",3.7791e+31,271323000.0
VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0
YBP 1194,"02,772",2.00889e+30,688743000.0
Gliese 1214,047.5,3.1824e+29,146097000.0
VB 10,018.72,1.4917499999999999e+29,69570000.0
TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0
2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999
CT Chamaeleontis,538.0,3.0811698938593877e+25,16162860.805021258
HN Pegasi,58.3,5.074868060474285e+25,7420222.460487032
DT Virginis,37.55,2.2655660984260196e+25,8081430.402510629
COROT-3,2220.0,3.925772935352608e+25,7420222.460487032
